Year,Selector1,Union_Membership,Selector2
2021,White,10.3,Ethnicity
1994,Black,20.6,Ethnicity
1995,Black,19.9,Ethnicity
1996,Black,18.9,Ethnicity
1997,Black,17.9,Ethnicity
1998,Black,17.7,Ethnicity
1999,Black,17.2,Ethnicity
2000,Black,17.1,Ethnicity
2001,Black,16.9,Ethnicity
2002,Black,16.9,Ethnicity
2003,Black,16.5,Ethnicity
2004,Black,15.1,Ethnicity
2005,Black,15.1,Ethnicity
2006,Black,14.5,Ethnicity
2007,Black,14.3,Ethnicity
2008,Black,14.5,Ethnicity
2009,Black,13.9,Ethnicity
2010,Black,13.4,Ethnicity
2011,Black,13.5,Ethnicity
2012,Black,13.4,Ethnicity
2013,Black,13.6,Ethnicity
2014,Black,13.2,Ethnicity
2015,Black,13.6,Ethnicity
2016,Black,13,Ethnicity
2017,Black,12.6,Ethnicity
2018,Black,12.5,Ethnicity
2019,Black,11.2,Ethnicity
2020,Black,12.3,Ethnicity
2021,Black,11.5,Ethnicity
2022,Black,11.6,Ethnicity
1994,Asian,NaN,Ethnicity
1995,Asian,NaN,Ethnicity
1996,Asian,NaN,Ethnicity
1997,Asian,NaN,Ethnicity
1998,Asian,NaN,Ethnicity
1999,Asian,NaN,Ethnicity
2000,Asian,NaN,Ethnicity
2001,Asian,NaN,Ethnicity
2002,Asian,NaN,Ethnicity
2003,Asian,11.4,Ethnicity
2004,Asian,11.4,Ethnicity
2005,Asian,11.2,Ethnicity
2006,Asian,10.4,Ethnicity
2007,Asian,10.9,Ethnicity
2008,Asian,10.6,Ethnicity
2009,Asian,11.4,Ethnicity
2010,Asian,10.9,Ethnicity
2011,Asian,10.1,Ethnicity
2012,Asian,9.6,Ethnicity
2013,Asian,9.4,Ethnicity
2014,Asian,10.4,Ethnicity
2015,Asian,9.8,Ethnicity
2016,Asian,9,Ethnicity
2017,Asian,8.9,Ethnicity
2018,Asian,8.4,Ethnicity
2019,Asian,8.8,Ethnicity
2020,Asian,8.9,Ethnicity
2021,Asian,7.7,Ethnicity
2022,Asian,8.3,Ethnicity
1994,Hispanic,14.2,Ethnicity
1995,Hispanic,13,Ethnicity
1996,Hispanic,12.9,Ethnicity
1997,Hispanic,11.8,Ethnicity
1998,Hispanic,11.9,Ethnicity
1999,Hispanic,11.9,Ethnicity
2000,Hispanic,11.4,Ethnicity
2001,Hispanic,11.1,Ethnicity
2002,Hispanic,10.5,Ethnicity
2003,Hispanic,10.7,Ethnicity
2004,Hispanic,10.1,Ethnicity
2005,Hispanic,10.4,Ethnicity
2006,Hispanic,9.8,Ethnicity
2007,Hispanic,9.8,Ethnicity
2008,Hispanic,10.6,Ethnicity
2009,Hispanic,10.2,Ethnicity
2010,Hispanic,10,Ethnicity
2011,Hispanic,9.7,Ethnicity
2012,Hispanic,9.8,Ethnicity
2013,Hispanic,9.4,Ethnicity
2014,Hispanic,9.2,Ethnicity
2015,Hispanic,9.4,Ethnicity
2016,Hispanic,8.8,Ethnicity
2017,Hispanic,9.3,Ethnicity
2018,Hispanic,9.1,Ethnicity
2019,Hispanic,8.9,Ethnicity
2020,Hispanic,9.8,Ethnicity
2021,Hispanic,9,Ethnicity
2022,Hispanic,8.8,Ethnicity
1994,Full-Time,17.3,Type
1995,Full-Time,16.6,Type
1996,Full-Time,16.2,Type
1997,Full-Time,15.6,Type
1998,Full-Time,15.5,Type
1999,Full-Time,15.3,Type
2000,Full-Time,14.8,Type
2001,Full-Time,14.7,Type
2002,Full-Time,14.6,Type
2003,Full-Time,14.2,Type
2004,Full-Time,13.9,Type
2005,Full-Time,13.7,Type
2006,Full-Time,13.1,Type
2007,Full-Time,13.2,Type
2008,Full-Time,13.7,Type
2009,Full-Time,13.6,Type
2010,Full-Time,13.2,Type
2011,Full-Time,13.1,Type
2012,Full-Time,12.5,Type
2013,Full-Time,12.5,Type
2014,Full-Time,12.3,Type
2015,Full-Time,12.2,Type
2016,Full-Time,11.8,Type
2017,Full-Time,11.8,Type
2018,Full-Time,11.6,Type
2019,Full-Time,11.2,Type
2020,Full-Time,11.8,Type
2021,Full-Time,11.1,Type
2022,Full-Time,11,Type
1994,Part-Time,7.9,Type
1995,Part-Time,7.5,Type
1996,Part-Time,7.1,Type
1997,Part-Time,7,Type
1998,Part-Time,6.5,Type
1999,Part-Time,6.9,Type
2000,Part-Time,6.8,Type
2001,Part-Time,6.8,Type
2002,Part-Time,6.9,Type
2003,Part-Time,6.8,Type
2004,Part-Time,6.4,Type
2005,Part-Time,6.5,Type
2006,Part-Time,6.3,Type
2007,Part-Time,6.5,Type
2008,Part-Time,6.7,Type
2009,Part-Time,7,Type
2010,Part-Time,6.4,Type
2011,Part-Time,6.4,Type
2012,Part-Time,6,Type
2013,Part-Time,6,Type
2014,Part-Time,5.8,Type
2015,Part-Time,5.9,Type
2016,Part-Time,5.7,Type
2017,Part-Time,5.7,Type
2018,Part-Time,5.4,Type
2019,Part-Time,5.5,Type
2020,Part-Time,5.8,Type
2021,Part-Time,6.1,Type
2022,Part-Time,5.5,Type
