Country,Year,Selector1,Weeklywage,Selector2
United States,2001,Gender,764,Men_UM
United States,2002,Gender,780,Men_UM
United States,2003,Gender,805,Men_UM
United States,2004,Gender,829,Men_UM
United States,2005,Gender,857,Men_UM
United States,2006,Gender,887,Men_UM
United States,2007,Gender,913,Men_UM
United States,2008,Gender,939,Men_UM
United States,2009,Gender,957,Men_UM
United States,2010,Gender,967,Men_UM
United States,2011,Gender,982,Men_UM
United States,2012,Gender,997,Men_UM
United States,2013,Gender,991,Men_UM
United States,2014,Gender,1015,Men_UM
United States,2015,Gender,1017,Men_UM
United States,2016,Gender,1050,Men_UM
United States,2017,Gender,1102,Men_UM
United States,2018,Gender,1123,Men_UM
United States,2019,Gender,1147,Men_UM
United States,2020,Gender,1216,Men_UM
United States,2021,Gender,1227,Men_UM
United States,2022,Gender,1273,Men_UM
United States,1994,Gender,495,Men_NUM
United States,1995,Gender,507,Men_NUM
United States,1996,Gender,520,Men_NUM
United States,1997,Gender,539,Men_NUM
United States,1998,Gender,573,Men_NUM
United States,1999,Gender,599,Men_NUM
United States,2000,Gender,620,Men_NUM
United States,2001,Gender,642,Men_NUM
United States,2002,Gender,652,Men_NUM
United States,2003,Gender,667,Men_NUM
United States,2004,Gender,685,Men_NUM
United States,2005,Gender,692,Men_NUM
United States,2006,Gender,717,Men_NUM
United States,2007,Gender,738,Men_NUM
United States,2008,Gender,766,Men_NUM
United States,2009,Gender,786,Men_NUM
United States,2010,Gender,789,Men_NUM
United States,2011,Gender,798,Men_NUM
United States,2012,Gender,821,Men_NUM
United States,2013,Gender,831,Men_NUM
United States,2014,Gender,840,Men_NUM
United States,2015,Gender,869,Men_NUM
United States,2016,Gender,890,Men_NUM
United States,2017,Gender,914,Men_NUM
United States,2018,Gender,948,Men_NUM
United States,2019,Gender,986,Men_NUM
United States,2020,Gender,1051,Men_NUM
United States,2021,Gender,1069,Men_NUM
United States,2022,Gender,1137,Men_NUM
United States,1994,Gender,522,Women_UM
United States,1995,Gender,527,Women_UM
United States,1996,Gender,549,Women_UM
United States,1997,Gender,577,Women_UM
United States,1998,Gender,596,Women_UM
United States,1999,Gender,608,Women_UM
United States,2000,Gender,616,Women_UM
United States,2001,Gender,643,Women_UM
United States,2002,Gender,667,Women_UM
United States,2003,Gender,696,Women_UM
United States,2004,Gender,723,Women_UM
United States,2005,Gender,731,Women_UM
United States,2006,Gender,758,Women_UM
United States,2007,Gender,790,Women_UM
United States,2008,Gender,809,Women_UM
United States,2009,Gender,840,Women_UM
United States,2010,Gender,856,Women_UM
United States,2011,Gender,879,Women_UM
United States,2012,Gender,877,Women_UM
United States,2013,Gender,898,Women_UM
United States,2014,Gender,904,Women_UM
United States,2015,Gender,928,Women_UM
United States,2016,Gender,955,Women_UM
United States,2017,Gender,970,Women_UM
United States,2018,Gender,968,Women_UM
United States,2019,Gender,1018,Women_UM
United States,2020,Gender,1067,Women_UM
United States,2021,Gender,1104,Women_UM
United States,2022,Gender,1146,Women_UM
United States,1994,Gender,377,Women_NUM
United States,1995,Gender,386,Women_NUM
United States,1996,Gender,398,Women_NUM
United States,1997,Gender,411,Women_NUM
United States,1998,Gender,430,Women_NUM
United States,1999,Gender,449,Women_NUM
United States,2000,Gender,472,Women_NUM
United States,2001,Gender,493,Women_NUM
United States,2002,Gender,510,Women_NUM
United States,2003,Gender,523,Women_NUM
United States,2004,Gender,541,Women_NUM
United States,2005,Gender,559,Women_NUM
United States,2006,Gender,579,Women_NUM
United States,2007,Gender,592,Women_NUM
United States,2008,Gender,615,Women_NUM
United States,2009,Gender,628,Women_NUM
United States,2010,Gender,639,Women_NUM
United States,2011,Gender,653,Women_NUM
United States,2012,Gender,663,Women_NUM
United States,2013,Gender,676,Women_NUM
United States,2014,Gender,687,Women_NUM
United States,2015,Gender,697,Women_NUM
United States,2016,Gender,723,Women_NUM
United States,2017,Gender,746,Women_NUM
United States,2018,Gender,764,Women_NUM
United States,2019,Gender,792,Women_NUM
United States,2020,Gender,862,Women_NUM
United States,2021,Gender,884,Women_NUM
United States,2022,Gender,932,Women_NUM
United States,1994,Ethnicity,609,White_UM
United States,1995,Ethnicity,621,White_UM
United States,1996,Ethnicity,635,White_UM
United States,1997,Ethnicity,663,White_UM
United States,1998,Ethnicity,683,White_UM
United States,1999,Ethnicity,692,White_UM
United States,2000,Ethnicity,716,White_UM
United States,2001,Ethnicity,739,White_UM
United States,2002,Ethnicity,763,White_UM
United States,2003,Ethnicity,779,White_UM
United States,2004,Ethnicity,808,White_UM
United States,2005,Ethnicity,830,White_UM
United States,2006,Ethnicity,859,White_UM
United States,2007,Ethnicity,889,White_UM
United States,2008,Ethnicity,914,White_UM
United States,2009,Ethnicity,934,White_UM
United States,2010,Ethnicity,943,White_UM
United States,2011,Ethnicity,961,White_UM
United States,2012,Ethnicity,973,White_UM
United States,2013,Ethnicity,978,White_UM
United States,2014,Ethnicity,997,White_UM
United States,2015,Ethnicity,1007,White_UM
United States,2016,Ethnicity,1050,White_UM
United States,2017,Ethnicity,1089,White_UM
United States,2018,Ethnicity,1098,White_UM
United States,2019,Ethnicity,1127,White_UM
United States,2020,Ethnicity,1165,White_UM
United States,2021,Ethnicity,1199,White_UM
United States,2022,Ethnicity,1246,White_UM
United States,1994,Ethnicity,451,White_NUM
United States,1995,Ethnicity,466,White_NUM
United States,1996,Ethnicity,480,White_NUM
United States,1997,Ethnicity,494,White_NUM
United States,1998,Ethnicity,513,White_NUM
United States,1999,Ethnicity,534,White_NUM
United States,2000,Ethnicity,565,White_NUM
United States,2001,Ethnicity,589,White_NUM
United States,2002,Ethnicity,602,White_NUM
United States,2003,Ethnicity,612,White_NUM
United States,2004,Ethnicity,626,White_NUM
United States,2005,Ethnicity,641,White_NUM
United States,2006,Ethnicity,659,White_NUM
United States,2007,Ethnicity,684,White_NUM
United States,2008,Ethnicity,712,White_NUM
United States,2009,Ethnicity,728,White_NUM
United States,2010,Ethnicity,736,White_NUM
United States,2011,Ethnicity,747,White_NUM
United States,2012,Ethnicity,762,White_NUM
United States,2013,Ethnicity,769,White_NUM
United States,2014,Ethnicity,784,White_NUM
United States,2015,Ethnicity,803,White_NUM
United States,2016,Ethnicity,827,White_NUM
United States,2017,Ethnicity,860,White_NUM
United States,2018,Ethnicity,889,White_NUM
United States,2019,Ethnicity,917,White_NUM
United States,2020,Ethnicity,978,White_NUM
United States,2021,Ethnicity,996,White_NUM
United States,2022,Ethnicity,1056,White_NUM
United States,1994,Ethnicity,493,Black_UM
United States,1995,Ethnicity,503,Black_UM
United States,1996,Ethnicity,507,Black_UM
United States,1997,Ethnicity,533,Black_UM
United States,1998,Ethnicity,578,Black_UM
United States,1999,Ethnicity,575,Black_UM
United States,2000,Ethnicity,596,Black_UM
United States,2001,Ethnicity,604,Black_UM
United States,2002,Ethnicity,615,Black_UM
United States,2003,Ethnicity,665,Black_UM
United States,2004,Ethnicity,656,Black_UM
United States,2005,Ethnicity,656,Black_UM
United States,2006,Ethnicity,707,Black_UM
United States,2007,Ethnicity,732,Black_UM
United States,2008,Ethnicity,720,Black_UM
United States,2009,Ethnicity,749,Black_UM
United States,2010,Ethnicity,772,Black_UM
United States,2011,Ethnicity,771,Black_UM
United States,2012,Ethnicity,784,Black_UM
United States,2013,Ethnicity,791,Black_UM
United States,2014,Ethnicity,810,Black_UM
United States,2015,Ethnicity,800,Black_UM
United States,2016,Ethnicity,808,Black_UM
United States,2017,Ethnicity,823,Black_UM
United States,2018,Ethnicity,826,Black_UM
United States,2019,Ethnicity,905,Black_UM
United States,2020,Ethnicity,965,Black_UM
United States,2021,Ethnicity,998,Black_UM
United States,2022,Ethnicity,1022,Black_UM
United States,1994,Ethnicity,228,Black_NUM
United States,1995,Ethnicity,348,Black_NUM
United States,1996,Ethnicity,356,Black_NUM
United States,1997,Ethnicity,371,Black_NUM
United States,1998,Ethnicity,398,Black_NUM
United States,1999,Ethnicity,415,Black_NUM
United States,2000,Ethnicity,436,Black_NUM
United States,2001,Ethnicity,462,Black_NUM
United States,2002,Ethnicity,477,Black_NUM
United States,2003,Ethnicity,491,Black_NUM
United States,2004,Ethnicity,507,Black_NUM
United States,2005,Ethnicity,500,Black_NUM
United States,2006,Ethnicity,520,Black_NUM
United States,2007,Ethnicity,533,Black_NUM
United States,2008,Ethnicity,564,Black_NUM
United States,2009,Ethnicity,581,Black_NUM
United States,2010,Ethnicity,589,Black_NUM
United States,2011,Ethnicity,595,Black_NUM
United States,2012,Ethnicity,599,Black_NUM
United States,2013,Ethnicity,606,Black_NUM
United States,2014,Ethnicity,611,Black_NUM
United States,2015,Ethnicity,617,Black_NUM
United States,2016,Ethnicity,646,Black_NUM
United States,2017,Ethnicity,659,Black_NUM
United States,2018,Ethnicity,673,Black_NUM
United States,2019,Ethnicity,711,Black_NUM
United States,2020,Ethnicity,766,Black_NUM
United States,2021,Ethnicity,775,Black_NUM
United States,2022,Ethnicity,849,Black_NUM
United States,1994,Ethnicity,NaN,Asian_UM
United States,1995,Ethnicity,NaN,Asian_UM
United States,1996,Ethnicity,NaN,Asian_UM
United States,1997,Ethnicity,NaN,Asian_UM
United States,1998,Ethnicity,NaN,Asian_UM
United States,1999,Ethnicity,NaN,Asian_UM
United States,2000,Ethnicity,NaN,Asian_UM
United States,2001,Ethnicity,NaN,Asian_UM
United States,2002,Ethnicity,NaN,Asian_UM
United States,2003,Ethnicity,759,Asian_UM
United States,2004,Ethnicity,765,Asian_UM
United States,2005,Ethnicity,809,Asian_UM
United States,2006,Ethnicity,834,Asian_UM
United States,2007,Ethnicity,853,Asian_UM
United States,2008,Ethnicity,902,Asian_UM
United States,2009,Ethnicity,907,Asian_UM
United States,2010,Ethnicity,909,Asian_UM
United States,2011,Ethnicity,961,Asian_UM
United States,2012,Ethnicity,977,Asian_UM
United States,2013,Ethnicity,961,Asian_UM
United States,2014,Ethnicity,979,Asian_UM
United States,2015,Ethnicity,1094,Asian_UM
United States,2016,Ethnicity,1020,Asian_UM
United States,2017,Ethnicity,1112,Asian_UM
United States,2018,Ethnicity,1119,Asian_UM
United States,2019,Ethnicity,1173,Asian_UM
United States,2020,Ethnicity,1240,Asian_UM
United States,2021,Ethnicity,1267,Asian_UM
United States,2022,Ethnicity,1402,Asian_UM
United States,1994,Ethnicity,NaN,Asian_NUM
United States,1995,Ethnicity,NaN,Asian_NUM
United States,1996,Ethnicity,NaN,Asian_NUM
United States,1997,Ethnicity,NaN,Asian_NUM
United States,1998,Ethnicity,NaN,Asian_NUM
United States,1999,Ethnicity,NaN,Asian_NUM
United States,2000,Ethnicity,NaN,Asian_NUM
United States,2001,Ethnicity,NaN,Asian_NUM
United States,2002,Ethnicity,NaN,Asian_NUM
United States,2003,Ethnicity,681,Asian_NUM
United States,2004,Ethnicity,691,Asian_NUM
United States,2005,Ethnicity,744,Asian_NUM
United States,2006,Ethnicity,774,Asian_NUM
United States,2007,Ethnicity,823,Asian_NUM
United States,2008,Ethnicity,852,Asian_NUM
United States,2009,Ethnicity,870,Asian_NUM
United States,2010,Ethnicity,842,Asian_NUM
United States,2011,Ethnicity,846,Asian_NUM
United States,2012,Ethnicity,907,Asian_NUM
United States,2013,Ethnicity,937,Asian_NUM
United States,2014,Ethnicity,948,Asian_NUM
United States,2015,Ethnicity,977,Asian_NUM
United States,2016,Ethnicity,1022,Asian_NUM
United States,2017,Ethnicity,1034,Asian_NUM
United States,2018,Ethnicity,1092,Asian_NUM
United States,2019,Ethnicity,1179,Asian_NUM
United States,2020,Ethnicity,1326,Asian_NUM
United States,2021,Ethnicity,1334,Asian_NUM
United States,2022,Ethnicity,1400,Asian_NUM
United States,1994,Ethnicity,470,Hispanic_UM
United States,1995,Ethnicity,499,Hispanic_UM
United States,1996,Ethnicity,484,Hispanic_UM
United States,1997,Ethnicity,506,Hispanic_UM
United States,1998,Ethnicity,540,Hispanic_UM
United States,1999,Ethnicity,561,Hispanic_UM
United States,2000,Ethnicity,584,Hispanic_UM
United States,2001,Ethnicity,575,Hispanic_UM
United States,2002,Ethnicity,623,Hispanic_UM
United States,2003,Ethnicity,632,Hispanic_UM
United States,2004,Ethnicity,679,Hispanic_UM
United States,2005,Ethnicity,673,Hispanic_UM
United States,2006,Ethnicity,686,Hispanic_UM
United States,2007,Ethnicity,736,Hispanic_UM
United States,2008,Ethnicity,733,Hispanic_UM
United States,2009,Ethnicity,774,Hispanic_UM
United States,2010,Ethnicity,771,Hispanic_UM
United States,2011,Ethnicity,811,Hispanic_UM
United States,2012,Ethnicity,840,Hispanic_UM
United States,2013,Ethnicity,838,Hispanic_UM
United States,2014,Ethnicity,811,Hispanic_UM
United States,2015,Ethnicity,862,Hispanic_UM
United States,2016,Ethnicity,886,Hispanic_UM
United States,2017,Ethnicity,897,Hispanic_UM
United States,2018,Ethnicity,912,Hispanic_UM
United States,2019,Ethnicity,954,Hispanic_UM
United States,2020,Ethnicity,1016,Hispanic_UM
United States,2021,Ethnicity,1032,Hispanic_UM
United States,2022,Ethnicity,1087,Hispanic_UM
United States,1994,Ethnicity,307,Hispanic_NUM
United States,1995,Ethnicity,311,Hispanic_NUM
United States,1996,Ethnicity,319,Hispanic_NUM
United States,1997,Ethnicity,331,Hispanic_NUM
United States,1998,Ethnicity,350,Hispanic_NUM
United States,1999,Ethnicity,363,Hispanic_NUM
United States,2000,Ethnicity,377,Hispanic_NUM
United States,2001,Ethnicity,398,Hispanic_NUM
United States,2002,Ethnicity,408,Hispanic_NUM
United States,2003,Ethnicity,419,Hispanic_NUM
United States,2004,Ethnicity,428,Hispanic_NUM
United States,2005,Ethnicity,449,Hispanic_NUM
United States,2006,Ethnicity,469,Hispanic_NUM
United States,2007,Ethnicity,487,Hispanic_NUM
United States,2008,Ethnicity,512,Hispanic_NUM
United States,2009,Ethnicity,516,Hispanic_NUM
United States,2010,Ethnicity,512,Hispanic_NUM
United States,2011,Ethnicity,520,Hispanic_NUM
United States,2012,Ethnicity,530,Hispanic_NUM
United States,2013,Ethnicity,547,Hispanic_NUM
United States,2014,Ethnicity,573,Hispanic_NUM
United States,2015,Ethnicity,586,Hispanic_NUM
United States,2016,Ethnicity,608,Hispanic_NUM
United States,2017,Ethnicity,629,Hispanic_NUM
United States,2018,Ethnicity,657,Hispanic_NUM
United States,2019,Ethnicity,686,Hispanic_NUM
United States,2020,Ethnicity,730,Hispanic_NUM
United States,2021,Ethnicity,755,Hispanic_NUM
United States,2022,Ethnicity,804,Hispanic_NUM
