Month,Job openings rate,Unemployment rate,Period,Decade,Predident
Jun-05,0.029,0.050,Dec 2001 - Nov 2007,2000s,W Bush
Jul-05,0.031,0.050,Dec 2001 - Nov 2007,2000s,W Bush
Aug-05,0.030,0.049,Dec 2001 - Nov 2007,2000s,W Bush
Sep-05,0.031,0.050,Dec 2001 - Nov 2007,2000s,W Bush
Oct-05,0.030,0.050,Dec 2001 - Nov 2007,2000s,W Bush
Nov-05,0.031,0.050,Dec 2001 - Nov 2007,2000s,W Bush
Dec-05,0.031,0.049,Dec 2001 - Nov 2007,2000s,W Bush
Jan-06,0.031,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Feb-06,0.031,0.048,Dec 2001 - Nov 2007,2000s,W Bush
Mar-06,0.034,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Apr-06,0.034,0.047,Dec 2001 - Nov 2007,2000s,W Bush
May-06,0.032,0.046,Dec 2001 - Nov 2007,2000s,W Bush
Jun-06,0.033,0.046,Dec 2001 - Nov 2007,2000s,W Bush
Jul-06,0.031,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Aug-06,0.033,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Sep-06,0.033,0.045,Dec 2001 - Nov 2007,2000s,W Bush
Oct-06,0.032,0.044,Dec 2001 - Nov 2007,2000s,W Bush
Nov-06,0.033,0.045,Dec 2001 - Nov 2007,2000s,W Bush
Dec-06,0.033,0.044,Dec 2001 - Nov 2007,2000s,W Bush
Jan-07,0.033,0.046,Dec 2001 - Nov 2007,2000s,W Bush
Feb-07,0.033,0.045,Dec 2001 - Nov 2007,2000s,W Bush
Mar-07,0.035,0.044,Dec 2001 - Nov 2007,2000s,W Bush
Apr-07,0.033,0.045,Dec 2001 - Nov 2007,2000s,W Bush
May-07,0.033,0.044,Dec 2001 - Nov 2007,2000s,W Bush
Jun-07,0.034,0.046,Dec 2001 - Nov 2007,2000s,W Bush
Jul-07,0.032,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Aug-07,0.032,0.046,Dec 2001 - Nov 2007,2000s,W Bush
Sep-07,0.033,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Oct-07,0.032,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Nov-07,0.033,0.047,Dec 2001 - Nov 2007,2000s,W Bush
Dec-07,0.032,0.050,Dec 2007 - Jun 2009,2000s,W Bush
Jan-08,0.032,0.050,Dec 2007 - Jun 2009,2000s,W Bush
Feb-08,0.030,0.049,Dec 2007 - Jun 2009,2000s,W Bush
Mar-08,0.030,0.051,Dec 2007 - Jun 2009,2000s,W Bush
Apr-08,0.028,0.050,Dec 2007 - Jun 2009,2000s,W Bush
May-08,0.030,0.054,Dec 2007 - Jun 2009,2000s,W Bush
Jun-08,0.027,0.056,Dec 2007 - Jun 2009,2000s,W Bush
Jul-08,0.027,0.058,Dec 2007 - Jun 2009,2000s,W Bush
Aug-08,0.026,0.061,Dec 2007 - Jun 2009,2000s,W Bush
Sep-08,0.023,0.061,Dec 2007 - Jun 2009,2000s,W Bush
Oct-08,0.024,0.065,Dec 2007 - Jun 2009,2000s,W Bush
Nov-08,0.023,0.068,Dec 2007 - Jun 2009,2000s,W Bush
Dec-08,0.023,0.073,Dec 2007 - Jun 2009,2000s,W Bush
Jan-09,0.020,0.078,Dec 2007 - Jun 2009,2000s,W Bush
Feb-09,0.021,0.083,Dec 2007 - Jun 2009,2000s,Obama
Mar-09,0.019,0.087,Dec 2007 - Jun 2009,2000s,Obama
Apr-09,0.017,0.090,Dec 2007 - Jun 2009,2000s,Obama
May-09,0.019,0.094,Dec 2007 - Jun 2009,2000s,Obama
Jun-09,0.019,0.095,Dec 2007 - Jun 2009,2000s,Obama
Jul-09,0.017,0.095,Jul 2009 - Mar 2020,2000s,Obama
Aug-09,0.018,0.096,Jul 2009 - Mar 2020,2000s,Obama
Sep-09,0.019,0.098,Jul 2009 - Mar 2020,2000s,Obama
Oct-09,0.018,0.100,Jul 2009 - Mar 2020,2000s,Obama
Nov-09,0.019,0.099,Jul 2009 - Mar 2020,2000s,Obama
Dec-09,0.019,0.099,Jul 2009 - Mar 2020,2000s,Obama
Jan-10,0.021,0.098,Jul 2009 - Mar 2020,2010s,Obama
Feb-10,0.020,0.098,Jul 2009 - Mar 2020,2010s,Obama
Mar-10,0.020,0.099,Jul 2009 - Mar 2020,2010s,Obama
Apr-10,0.024,0.099,Jul 2009 - Mar 2020,2010s,Obama
May-10,0.022,0.096,Jul 2009 - Mar 2020,2010s,Obama
Jun-10,0.021,0.094,Jul 2009 - Mar 2020,2010s,Obama
Jul-10,0.023,0.094,Jul 2009 - Mar 2020,2010s,Obama
Aug-10,0.022,0.095,Jul 2009 - Mar 2020,2010s,Obama
Sep-10,0.022,0.095,Jul 2009 - Mar 2020,2010s,Obama
Oct-10,0.024,0.094,Jul 2009 - Mar 2020,2010s,Obama
Nov-10,0.024,0.098,Jul 2009 - Mar 2020,2010s,Obama
Dec-10,0.023,0.093,Jul 2009 - Mar 2020,2010s,Obama
Jan-11,0.023,0.091,Jul 2009 - Mar 2020,2010s,Obama
Feb-11,0.024,0.090,Jul 2009 - Mar 2020,2010s,Obama
Mar-11,0.024,0.090,Jul 2009 - Mar 2020,2010s,Obama
Apr-11,0.024,0.091,Jul 2009 - Mar 2020,2010s,Obama
May-11,0.024,0.090,Jul 2009 - Mar 2020,2010s,Obama
Jun-11,0.026,0.091,Jul 2009 - Mar 2020,2010s,Obama
Jul-11,0.027,0.090,Jul 2009 - Mar 2020,2010s,Obama
Aug-11,0.025,0.090,Jul 2009 - Mar 2020,2010s,Obama
Sep-11,0.028,0.090,Jul 2009 - Mar 2020,2010s,Obama
Oct-11,0.027,0.088,Jul 2009 - Mar 2020,2010s,Obama
Nov-11,0.026,0.086,Jul 2009 - Mar 2020,2010s,Obama
Dec-11,0.028,0.085,Jul 2009 - Mar 2020,2010s,Obama
Jan-12,0.028,0.083,Jul 2009 - Mar 2020,2010s,Obama
Feb-12,0.026,0.083,Jul 2009 - Mar 2020,2010s,Obama
Mar-12,0.029,0.082,Jul 2009 - Mar 2020,2010s,Obama
Apr-12,0.028,0.082,Jul 2009 - Mar 2020,2010s,Obama
May-12,0.028,0.082,Jul 2009 - Mar 2020,2010s,Obama
Jun-12,0.028,0.082,Jul 2009 - Mar 2020,2010s,Obama
Jul-12,0.027,0.082,Jul 2009 - Mar 2020,2010s,Obama
Aug-12,0.028,0.081,Jul 2009 - Mar 2020,2010s,Obama
Sep-12,0.028,0.078,Jul 2009 - Mar 2020,2010s,Obama
Oct-12,0.027,0.078,Jul 2009 - Mar 2020,2010s,Obama
Nov-12,0.028,0.077,Jul 2009 - Mar 2020,2010s,Obama
Dec-12,0.029,0.079,Jul 2009 - Mar 2020,2010s,Obama
Jan-13,0.028,0.080,Jul 2009 - Mar 2020,2010s,Obama
Feb-13,0.029,0.077,Jul 2009 - Mar 2020,2010s,Obama
Mar-13,0.029,0.075,Jul 2009 - Mar 2020,2010s,Obama
Apr-13,0.029,0.076,Jul 2009 - Mar 2020,2010s,Obama
May-13,0.030,0.075,Jul 2009 - Mar 2020,2010s,Obama
Jun-13,0.030,0.075,Jul 2009 - Mar 2020,2010s,Obama
Jul-13,0.028,0.073,Jul 2009 - Mar 2020,2010s,Obama
Aug-13,0.029,0.072,Jul 2009 - Mar 2020,2010s,Obama
Sep-13,0.029,0.072,Jul 2009 - Mar 2020,2010s,Obama
Oct-13,0.030,0.072,Jul 2009 - Mar 2020,2010s,Obama
Nov-13,0.029,0.069,Jul 2009 - Mar 2020,2010s,Obama
Dec-13,0.029,0.067,Jul 2009 - Mar 2020,2010s,Obama
Jan-14,0.029,0.066,Jul 2009 - Mar 2020,2010s,Obama
Feb-14,0.031,0.067,Jul 2009 - Mar 2020,2010s,Obama
Mar-14,0.031,0.067,Jul 2009 - Mar 2020,2010s,Obama
Apr-14,0.032,0.062,Jul 2009 - Mar 2020,2010s,Obama
May-14,0.033,0.063,Jul 2009 - Mar 2020,2010s,Obama
Jun-14,0.035,0.061,Jul 2009 - Mar 2020,2010s,Obama
Jul-14,0.034,0.062,Jul 2009 - Mar 2020,2010s,Obama
Aug-14,0.037,0.061,Jul 2009 - Mar 2020,2010s,Obama
Sep-14,0.034,0.059,Jul 2009 - Mar 2020,2010s,Obama
Oct-14,0.035,0.057,Jul 2009 - Mar 2020,2010s,Obama
Nov-14,0.033,0.058,Jul 2009 - Mar 2020,2010s,Obama
Dec-14,0.035,0.056,Jul 2009 - Mar 2020,2010s,Obama
Jan-15,0.037,0.057,Jul 2009 - Mar 2020,2010s,Obama
Feb-15,0.037,0.055,Jul 2009 - Mar 2020,2010s,Obama
Mar-15,0.036,0.054,Jul 2009 - Mar 2020,2010s,Obama
Apr-15,0.038,0.054,Jul 2009 - Mar 2020,2010s,Obama
May-15,0.038,0.056,Jul 2009 - Mar 2020,2010s,Obama
Jun-15,0.036,0.053,Jul 2009 - Mar 2020,2010s,Obama
Jul-15,0.041,0.052,Jul 2009 - Mar 2020,2010s,Obama
Aug-15,0.037,0.051,Jul 2009 - Mar 2020,2010s,Obama
Sep-15,0.037,0.050,Jul 2009 - Mar 2020,2010s,Obama
Oct-15,0.039,0.050,Jul 2009 - Mar 2020,2010s,Obama
Nov-15,0.038,0.051,Jul 2009 - Mar 2020,2010s,Obama
Dec-15,0.039,0.050,Jul 2009 - Mar 2020,2010s,Obama
Jan-16,0.040,0.048,Jul 2009 - Mar 2020,2010s,Obama
Feb-16,0.039,0.049,Jul 2009 - Mar 2020,2010s,Obama
Mar-16,0.041,0.050,Jul 2009 - Mar 2020,2010s,Obama
Apr-16,0.039,0.051,Jul 2009 - Mar 2020,2010s,Obama
May-16,0.039,0.048,Jul 2009 - Mar 2020,2010s,Obama
Jun-16,0.038,0.049,Jul 2009 - Mar 2020,2010s,Obama
Jul-16,0.040,0.048,Jul 2009 - Mar 2020,2010s,Obama
Aug-16,0.038,0.049,Jul 2009 - Mar 2020,2010s,Obama
Sep-16,0.039,0.050,Jul 2009 - Mar 2020,2010s,Obama
Oct-16,0.037,0.049,Jul 2009 - Mar 2020,2010s,Obama
Nov-16,0.040,0.047,Jul 2009 - Mar 2020,2010s,Obama
Dec-16,0.039,0.047,Jul 2009 - Mar 2020,2010s,Obama
Jan-17,0.037,0.047,Jul 2009 - Mar 2020,2010s,Obama
Feb-17,0.039,0.046,Jul 2009 - Mar 2020,2010s,Trump
Mar-17,0.038,0.044,Jul 2009 - Mar 2020,2010s,Trump
Apr-17,0.040,0.044,Jul 2009 - Mar 2020,2010s,Trump
May-17,0.038,0.044,Jul 2009 - Mar 2020,2010s,Trump
Jun-17,0.041,0.043,Jul 2009 - Mar 2020,2010s,Trump
Jul-17,0.041,0.043,Jul 2009 - Mar 2020,2010s,Trump
Aug-17,0.041,0.044,Jul 2009 - Mar 2020,2010s,Trump
Sep-17,0.041,0.043,Jul 2009 - Mar 2020,2010s,Trump
Oct-17,0.042,0.042,Jul 2009 - Mar 2020,2010s,Trump
Nov-17,0.041,0.042,Jul 2009 - Mar 2020,2010s,Trump
Dec-17,0.041,0.041,Jul 2009 - Mar 2020,2010s,Trump
Jan-18,0.043,0.040,Jul 2009 - Mar 2020,2010s,Trump
Feb-18,0.043,0.041,Jul 2009 - Mar 2020,2010s,Trump
Mar-18,0.044,0.040,Jul 2009 - Mar 2020,2010s,Trump
Apr-18,0.044,0.040,Jul 2009 - Mar 2020,2010s,Trump
May-18,0.045,0.038,Jul 2009 - Mar 2020,2010s,Trump
Jun-18,0.046,0.040,Jul 2009 - Mar 2020,2010s,Trump
Jul-18,0.046,0.038,Jul 2009 - Mar 2020,2010s,Trump
Aug-18,0.046,0.038,Jul 2009 - Mar 2020,2010s,Trump
Sep-18,0.047,0.037,Jul 2009 - Mar 2020,2010s,Trump
Oct-18,0.047,0.038,Jul 2009 - Mar 2020,2010s,Trump
Nov-18,0.048,0.038,Jul 2009 - Mar 2020,2010s,Trump
Dec-18,0.047,0.039,Jul 2009 - Mar 2020,2010s,Trump
Jan-19,0.047,0.040,Jul 2009 - Mar 2020,2010s,Trump
Feb-19,0.045,0.038,Jul 2009 - Mar 2020,2010s,Trump
Mar-19,0.046,0.038,Jul 2009 - Mar 2020,2010s,Trump
Apr-19,0.046,0.036,Jul 2009 - Mar 2020,2010s,Trump
May-19,0.046,0.036,Jul 2009 - Mar 2020,2010s,Trump
Jun-19,0.045,0.036,Jul 2009 - Mar 2020,2010s,Trump
Jul-19,0.045,0.037,Jul 2009 - Mar 2020,2010s,Trump
Aug-19,0.045,0.037,Jul 2009 - Mar 2020,2010s,Trump
Sep-19,0.045,0.035,Jul 2009 - Mar 2020,2010s,Trump
Oct-19,0.047,0.036,Jul 2009 - Mar 2020,2010s,Trump
Nov-19,0.044,0.036,Jul 2009 - Mar 2020,2010s,Trump
Dec-19,0.043,0.036,Jul 2009 - Mar 2020,2010s,Trump
Jan-20,0.045,0.035,Jul 2009 - Mar 2020,2020s,Trump
Feb-20,0.044,0.035,Jul 2009 - Mar 2020,2020s,Trump
Mar-20,0.038,0.044,Jul 2009 - Mar 2020,2020s,Trump
Apr-20,0.035,0.147,Apr 2020 - Dec 2022,2020s,Trump
May-20,0.039,0.132,Apr 2020 - Dec 2022,2020s,Trump
Jun-20,0.042,0.110,Apr 2020 - Dec 2022,2020s,Trump
Jul-20,0.045,0.102,Apr 2020 - Dec 2022,2020s,Trump
Aug-20,0.043,0.084,Apr 2020 - Dec 2022,2020s,Trump
Sep-20,0.044,0.079,Apr 2020 - Dec 2022,2020s,Trump
Oct-20,0.046,0.069,Apr 2020 - Dec 2022,2020s,Trump
Nov-20,0.046,0.067,Apr 2020 - Dec 2022,2020s,Trump
Dec-20,0.046,0.067,Apr 2020 - Dec 2022,2020s,Trump
Jan-21,0.048,0.064,Apr 2020 - Dec 2022,2020s,Trump
Feb-21,0.052,0.062,Apr 2020 - Dec 2022,2020s,Biden
Mar-21,0.055,0.060,Apr 2020 - Dec 2022,2020s,Biden
Apr-21,0.060,0.060,Apr 2020 - Dec 2022,2020s,Biden
May-21,0.062,0.058,Apr 2020 - Dec 2022,2020s,Biden
Jun-21,0.063,0.059,Apr 2020 - Dec 2022,2020s,Biden
Jul-21,0.069,0.054,Apr 2020 - Dec 2022,2020s,Biden
Aug-21,0.067,0.052,Apr 2020 - Dec 2022,2020s,Biden
Sep-21,0.068,0.047,Apr 2020 - Dec 2022,2020s,Biden
Oct-21,0.070,0.046,Apr 2020 - Dec 2022,2020s,Biden
Nov-21,0.068,0.042,Apr 2020 - Dec 2022,2020s,Biden
Dec-21,0.071,0.039,Apr 2020 - Dec 2022,2020s,Biden
Jan-22,0.070,0.040,Apr 2020 - Dec 2022,2020s,Biden
Feb-22,0.070,0.038,Apr 2020 - Dec 2022,2020s,Biden
Mar-22,0.073,0.036,Apr 2020 - Dec 2022,2020s,Biden
Apr-22,0.072,0.036,Apr 2020 - Dec 2022,2020s,Biden
May-22,0.069,0.036,Apr 2020 - Dec 2022,2020s,Biden
Jun-22,0.068,0.036,Apr 2020 - Dec 2022,2020s,Biden
Jul-22,0.068,0.035,Apr 2020 - Dec 2022,2020s,Biden
Aug-22,0.063,0.037,Apr 2020 - Dec 2022,2020s,Biden
Sep-22,0.065,0.035,Apr 2020 - Dec 2022,2020s,Biden
Oct-22,0.064,0.037,Apr 2020 - Dec 2022,2020s,Biden
Nov-22,0.064,0.036,Apr 2020 - Dec 2022,2020s,Biden
Dec-22,0.067,0.035,Apr 2020 - Dec 2022,2020s,Biden
