""
""
""
""
"TABLE 3D:  U.S. Treasury Securities H","eld by Foreign","Residents 1/ in","January 2023"
"Treasury International Capital (TI","C) reporting sy","stem. Holdings","of Treasury bon","ds and notes ar","e reported on T","IC Form SLT,"Ag","gregate"
"Holdings of Long-Term Securities b","y U.S. and Fore","ign Residents."","Holdings of sh","ort-term Treasu","ry securities a","re reported on","TIC form BL-2,"
""Report of Customers' U.S. Dollar","Liabilities to","Foreign Residen","ts.""
""
"The data in this table are collected","primarily from","U.S.-based cust","odians. Since U",".S. securities","held in oversea","s custody accou","nts may not be"
"attributed to the actual owners, the","data may not pr","ovide a precise","accounting of","individual coun","try ownership o","f Treasury secu","rities (see"
"TIC FAQ #7 at: http://www.treasury.go","v/resource-cent","er/data-chart-c","enter/tic/Pages","/ticfaq1.aspx)."
""
"Definitions:"
"Euro area:  As of January 2023, inclu","des Austria, Be","lgium, Croatia,","Cyprus, Estoni","a, Finland, Fra","nce, Germany, G","reece, Ireland,","Italy,"
"Latvia, Lithuania, Luxembourg, Malt","a, the Netherla","nds, Portugal,","Slovakia, Slove","nia, and Spain."
""
"European Union includes Austria, Belg","ium, Bulgaria,","Croatia, Cyprus",", the Czech Rep","ublic, Denmark,","Estonia, Finla","nd, France, Ger","many, Greece,"
"Hungary, Ireland, Italy, Latvia, Li","thuania, Luxemb","ourg, Malta, th","e Netherlands,","Poland, Portuga","l, Romania, Slo","vakia, Slovenia",", and Sweden."
""
""
""
