"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","CZK","Czech Koruna","0","Units",,,149626,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","CZK","Czech Koruna","0","Units",,,159089,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","CZK","Czech Koruna","0","Units",,,170384,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","CZK","Czech Koruna","0","Units",,,186600,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","CZK","Czech Koruna","0","Units",,,203391,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","CZK","Czech Koruna","0","Units",,,207618,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","CZK","Czech Koruna","0","Units",,,210655,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","CZK","Czech Koruna","0","Units",,,210877,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","CZK","Czech Koruna","0","Units",,,212374,,
"CZE","Czech Republic","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","CZK","Czech Koruna","0","Units",,,216083,,
"DNK","Denmark","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","DKK","Danish Krone","0","Units",,,227364,,
"DNK","Denmark","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","DKK","Danish Krone","0","Units",,,229627,,
"DNK","Denmark","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","DKK","Danish Krone","0","Units",,,230502,,
"DNK","Denmark","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","DKK","Danish Krone","0","Units",,,235024,,
